algo,dataset,bandwidth,outlier_prop,n_block,kullback_f0_f,kullback_f_f0,jensen,auc_anomaly
kde,iris,0.24326293898144086,0.4,,,,,0.15594594594594596
mom-kde,iris,0.24326293898144086,0.4,1,,,,0.15594594594594596
mom-kde,iris,0.24326293898144086,0.4,4,,,,0.15621621621621623
mom-kde,iris,0.24326293898144086,0.4,7,,,,0.15783783783783784
mom-kde,iris,0.24326293898144086,0.4,10,,,,0.2275675675675676
mom-kde,iris,0.24326293898144086,0.4,13,,,,0.12702702702702706
mom-kde,iris,0.24326293898144086,0.4,17,,,,0.20351351351351354
mom-kde,iris,0.24326293898144086,0.4,20,,,,0.1545945945945946
mom-kde,iris,0.24326293898144086,0.4,23,,,,0.1810810810810811
mom-kde,iris,0.24326293898144086,0.4,26,,,,0.18945945945945947
mom-kde,iris,0.24326293898144086,0.4,29,,,,0.24567567567567572
mom-kde,iris,0.24326293898144086,0.4,33,,,,0.20864864864864868
mom-kde,iris,0.24326293898144086,0.4,36,,,,0.2637837837837838
mom-kde,iris,0.24326293898144086,0.4,39,,,,0.18297297297297296
mom-kde,iris,0.24326293898144086,0.4,42,,,,0.3113513513513514
mom-kde,iris,0.24326293898144086,0.4,45,,,,0.3827027027027027
mom-kde,iris,0.24326293898144086,0.4,49,,,,0.682972972972973
mom-kde,iris,0.24326293898144086,0.4,52,,,,0.3589189189189189
mom-kde,iris,0.24326293898144086,0.4,55,,,,0.4783783783783784
mom-kde,iris,0.24326293898144086,0.4,58,,,,0.38135135135135134
mom-kde,iris,0.24326293898144086,0.4,62,,,,0.2791891891891892
rkde,iris,0.24326293898144086,0.4,,,,,0.23675675675675675
spkde,iris,0.24326293898144086,0.4,,,,,0.15594594594594596
kde,iris,0.24326293898144086,0.45,,,,,0.13836065573770492
mom-kde,iris,0.24326293898144086,0.45,1,,,,0.13836065573770492
mom-kde,iris,0.24326293898144086,0.45,3,,,,0.19573770491803277
mom-kde,iris,0.24326293898144086,0.45,6,,,,0.12098360655737705
mom-kde,iris,0.24326293898144086,0.45,9,,,,0.12032786885245902
mom-kde,iris,0.24326293898144086,0.45,12,,,,0.1321311475409836
mom-kde,iris,0.24326293898144086,0.45,15,,,,0.13147540983606557
mom-kde,iris,0.24326293898144086,0.45,18,,,,0.13967213114754098
mom-kde,iris,0.24326293898144086,0.45,21,,,,0.14852459016393443
mom-kde,iris,0.24326293898144086,0.45,23,,,,0.17311475409836063
mom-kde,iris,0.24326293898144086,0.45,26,,,,0.15278688524590164
mom-kde,iris,0.24326293898144086,0.45,29,,,,0.2272131147540984
mom-kde,iris,0.24326293898144086,0.45,32,,,,0.1855737704918033
mom-kde,iris,0.24326293898144086,0.45,35,,,,0.20754098360655737
mom-kde,iris,0.24326293898144086,0.45,38,,,,0.15180327868852458
mom-kde,iris,0.24326293898144086,0.45,41,,,,0.5067213114754099
mom-kde,iris,0.24326293898144086,0.45,44,,,,0.1718032786885246
mom-kde,iris,0.24326293898144086,0.45,46,,,,0.29278688524590163
mom-kde,iris,0.24326293898144086,0.45,49,,,,0.32590163934426225
mom-kde,iris,0.24326293898144086,0.45,52,,,,0.2249180327868852
mom-kde,iris,0.24326293898144086,0.45,55,,,,0.239344262295082
rkde,iris,0.24326293898144086,0.45,,,,,0.15868852459016394
spkde,iris,0.24326293898144086,0.45,,,,,0.13836065573770492
kde,iris,0.24326293898144086,0.5,,,,,0.1136
mom-kde,iris,0.24326293898144086,0.5,1,,,,0.1136
mom-kde,iris,0.24326293898144086,0.5,3,,,,0.178
mom-kde,iris,0.24326293898144086,0.5,6,,,,0.1148
mom-kde,iris,0.24326293898144086,0.5,8,,,,0.08920000000000002
mom-kde,iris,0.24326293898144086,0.5,11,,,,0.0856
mom-kde,iris,0.24326293898144086,0.5,13,,,,0.094
mom-kde,iris,0.24326293898144086,0.5,16,,,,0.07400000000000002
mom-kde,iris,0.24326293898144086,0.5,19,,,,0.1172
mom-kde,iris,0.24326293898144086,0.5,21,,,,0.0964
mom-kde,iris,0.24326293898144086,0.5,24,,,,0.106
mom-kde,iris,0.24326293898144086,0.5,26,,,,0.13040000000000002
mom-kde,iris,0.24326293898144086,0.5,29,,,,0.10400000000000001
mom-kde,iris,0.24326293898144086,0.5,31,,,,0.15040000000000003
mom-kde,iris,0.24326293898144086,0.5,34,,,,0.194
mom-kde,iris,0.24326293898144086,0.5,37,,,,0.12680000000000002
mom-kde,iris,0.24326293898144086,0.5,39,,,,0.25160000000000005
mom-kde,iris,0.24326293898144086,0.5,42,,,,0.09240000000000001
mom-kde,iris,0.24326293898144086,0.5,44,,,,0.11959999999999998
mom-kde,iris,0.24326293898144086,0.5,47,,,,0.1316
